"ID","FL","AgeClass"
1276,43.8,"2"
1277,36.7,"2"
1278,36.8,"2"
1279,35.7,"2"
1280,37.4,"2"
1284,51,"2"
1285,52.8,"3"
1286,44.5,"2"
1287,40,"2"
1288,41,"2"
1289,33.8,"1"
1290,36.8,"2"
1291,29.4,"1"
1292,30.6,"1"
1293,33.9,"2"
1294,35.6,"2"
1295,36.2,"1"
1296,32.4,"1"
1297,36.2,"1"
1298,36.2,"2"
1299,32.7,"2"
1300,33.5,"1"
1301,33.6,"1"
1302,35,"2"
1303,38.3,"2"
1304,34.9,"2"
1305,37.2,"1"
1306,76.5,"5"
1307,38,"1"
1308,36.9,"2"
1310,28.83668616,"1"
1311,29.73178264,"2"
1312,27.94158967,"3"
1313,27.94158967,"2"
1314,30.17933088,"2"
1315,28.83668616,"1"
1316,30.62687912,"1"
1317,31.5219756,"1"
1318,35.99745802,"2"
1319,37.78765098,"2"
1320,39.2,"2"
1321,33.2,"2"
1322,36.9,"2"
1323,35.8,"2"
1324,39.1,"2"
1325,44.7,"1"
1326,35.4,"1"
1327,36.8,"2"
1328,32.2,"2"
1329,36.5,"2"
1330,45.3,"2"
1331,32.5,"1"
1332,39.8,"2"
1333,37.4,"2"
1334,39.1,"2"
1335,38.2,"2"
1336,45.4,"2"
1337,36.6,"2"
1338,37.9,"2"
1339,45.3,"2"
1340,44.4,"3"
1341,38.6,"2"
1342,36,"2"
1343,31.9,"2"
1344,37.5,"2"
1345,36,"2"
1346,38.8,"2"
1347,41,"2"
1348,35.7,"2"
1349,35.6,"2"
1350,32.2,"1"
1351,45,"1"
1352,49.8,"4"
1353,29.2,"1"
1354,45,"2"
1355,47,"2"
1356,38.9,"2"
1357,43.4,"2"
1358,28.2,"1"
1359,34.8,"1"
1360,31.3,"1"
1361,28.8,"1"
1362,32.2,"1"
1363,28.5,"1"
1364,35.8,"1"
1365,34.2,"2"
1366,30.5,"2"
1367,37.9,"2"
1368,28.8,"1"
1369,31.9,"2"
1370,33.9,"2"
1371,33.6,"2"
1372,36,"2"
1373,30.5,"1"
1374,29.4,"1"
1375,43.4,"2"
1376,38.8,"2"
1377,31.8,"1"
1378,33.7,"1"
1379,35,"1"
1380,35,"2"
1381,28.6,"1"
1382,28.8,"1"
1383,34.7,"2"
1385,27.9,"1"
1387,32.6,"1"
1388,28.5,"1"
1389,43.7,"3"
1390,35.1,"2"
1391,32.4,"1"
1392,42.9,"2"
1393,46.3,"3"
1394,43.6,"3"
1395,41.9,"3"
1396,38.9,"3"
1397,41.2,"2"
1398,36,"2"
1399,37.6,"2"
1400,43.1,"2"
1401,37.6,"2"
1402,32.3,"2"
1403,41.2,"2"
1404,43,"2"
1405,47.3,"3"
1406,43.6,"2"
1407,36.9,"2"
1408,33.6,"2"
1409,36.2,"2"
1410,35.5,"2"
1411,36.1,"2"
1412,37,"2"
1413,35.2,"2"
1414,36.9,"2"
1415,35,"2"
1416,35.2,"1"
1417,38.8,"2"
1418,34.1,"2"
1419,43.4,"2"
1420,35,"2"
1421,39.7,"2"
1422,42.3,"3"
1423,34.5,"1"
1424,37.4,"2"
1425,35.9,"2"
1426,36.7,"2"
1427,36.6,"2"
1428,37.6,"2"
1429,32.2,"1"
1430,42.1,"2"
1431,38.6,"2"
1432,39.4,"2"
1433,37.3,"2"
1434,34.9,"2"
1435,30.3,"1"
1436,34.9,"2"
1437,34.8,"1"
1438,51.4,"4"
1439,35.5,"3"
1440,37.6,"2"
1441,30.2,"1"
1442,33.3,"1"
1443,33,"1"
1444,34.9,"1"
1445,31.4,"1"
1446,31.7,"1"
1447,37.4,"2"
1448,37,"2"
1449,36.8,"2"
1450,55.4,"3"
1451,39.7,"2"
1452,38.4,"2"
1453,48.3,"4"
1495,36.5,"2"
1496,39.6,"2"
1497,31.9,"1"
1498,37,"2"
1499,43.8,"2"
1500,36.8,"2"
1501,38.8,"2"
1502,34.3,"2"
1503,40.2,"2"
1504,39.5,"2"
1505,32.7,"2"
1506,36.8,"2"
1507,43.6,"2"
1508,36.8,"2"
1509,44,"2"
1510,36.2,"2"
1511,35.3,"1"
1512,37.7,"2"
1513,38.8,"1"
1514,35.5,"2"
1515,28.2,"1"
1516,32.4,"2"
1517,31.4,"2"
1518,29,"2"
1519,34.8,"2"
1520,34.9,"2"
1521,34.2,"2"
1522,28.2,"2"
1523,27.9,"2"
1524,32.8,"2"
1525,33.1,"2"
1526,32.8,"2"
1527,38.8,"2"
1528,36.9,"2"
1529,40.1,"2"
1530,40.7,"2"
1531,40,"2"
1532,35.7,"1"
1533,37.2,"2"
1534,34.6,"2"
1535,29.5,"1"
1536,32.7,"1"
1537,34,"2"
1538,35,"2"
1539,35.2,"2"
1540,35.8,"2"
1541,36.3,"2"
1542,42.7,"3"
1543,34.2,"2"
1544,42.6,"3"
1545,33,"2"
1547,73.6,"6"
1548,33,"2"
1549,29,"2"
1550,29,"2"
1551,35.2,"3"
1552,32.5,"2"
1553,31,"1"
1554,31.2,"1"
1555,31.5,"1"
1556,34.6,"2"
1557,33.9,"2"
1558,28.8,"1"
1559,32.8,"1"
1560,36,"2"
1561,29.5,"1"
1562,34.7,"2"
1563,34.7,"1"
1564,29.4,"1"
1565,31.4,"1"
1566,28.2,"2"
1567,29.4,"1"
1568,32.4,"1"
1569,31.2,"1"
1570,34.7,"1"
1571,29.1,"1"
1572,28.7,"1"
1573,29.1,"2"
1574,31.9,"2"
1575,29.5,"2"
1576,32.6,"3"
1577,33.8,"2"
1578,30.2,"2"
1579,34,"3"
1580,32.4,"2"
1581,63,"5"
1582,30.4,"1"
1583,35.8,"2"
1584,31.6,"1"
1585,31.5,"1"
1586,36.2,"2"
1587,32.1,"2"
1588,37.3,"2"
1589,36.5,"2"
1590,38.4,"2"
1591,35.7,"1"
1592,30.8,"2"
1593,28.3,"2"
1594,31,"2"
1595,31.6,"2"
1596,31.7,"2"
1597,31.5,"2"
1598,34,"1"
1599,40.7,"2"
1600,36.8,"2"
1601,34.9,"2"
1602,31.4,"1"
1603,29.4,"1"
1604,34.7,"2"
1605,31.7,"2"
1606,35.8,"1"
1607,33.1,"2"
1608,33.4,"2"
1609,36.9,"2"
1610,36.1,"2"
1611,34.6,"2"
1612,39.5,"2"
1613,37.2,"2"
1614,35.6,"2"
1615,35.8,"2"
1616,38.5,"2"
1617,37.2,"1"
1618,41.1,"2"
1619,33.4,"1"
1620,34.6,"1"
1621,35.2,"1"
1622,33,"2"
1623,33.8,"2"
1624,31.6,"1"
1625,31,"1"
1626,33.8,"1"
1627,29.8,"1"
1628,36.5,"2"
1629,35.6,"2"
1630,30.8,"1"
1631,30.2,"1"
1632,32.3,"1"
1633,35.5,"2"
1634,36.3,"3"
1635,45.1,"3"
1636,58.7,"5"
1637,32.8,"2"
1638,34.7,"2"
1639,33.4,"2"
1640,39.1,"3"
1641,34.7,"2"
1642,29.3,"2"
1643,36.3,"2"
1644,38.2,"2"
1645,34.3,"2"
1646,34.7,"2"
1647,36.2,"2"
1648,41.1,"2"
1649,37.1,"2"
1650,33.2,"2"
1651,33.7,"2"
1652,36.9,"2"
1653,37.4,"2"
1654,37.5,"2"
1655,34.7,"2"
1656,41.1,"2"
1657,41,"3"
1658,36,"2"
1659,36.5,"2"
1660,35.2,"2"
1661,32.8,"2"
1662,34.5,"2"
1663,32.1,"2"
1664,30.9,"2"
1665,34.1,"2"
1666,33,"2"
1667,30.6,"2"
1668,27.3,"1"
1669,30.7,"2"
1670,32.8,"2"
1671,30.1,"1"
1672,31.5,"2"
1673,35.4,"2"
1674,42.4,"2"
1675,39.7,"2"
1676,37.1,"2"
1677,34.6,"2"
1678,39.3,"2"
1679,35,"2"
1680,32.7,"2"
1681,32,"2"
1682,32.5,"2"
1683,31.4,"2"
1684,32.2,"1"
1685,30,"2"
1686,33.3,"1"
1687,31.4,"2"
1688,32.2,"2"
1689,27.8,"1"
1690,29.7,"2"
1691,31.3,"1"
1692,28.6,"2"
1693,30.8,"2"
1694,32.1,"1"
1695,31.4,"1"
1696,31.4,"1"
1697,32.7,"2"
1698,27.2,"1"
1699,29.5,"1"
1700,31.2,"2"
1701,34.4,"3"
1702,33.7,"3"
1703,29.4,"2"
1704,32.6,"2"
1705,30.4,"2"
1706,32.7,"3"
1707,35.3,"3"
1708,37.8,"3"
1709,31.5,"3"
1710,30.3,"2"
1711,28.2,"2"
1712,32.6,"3"
1713,32.2,"2"
1714,33,"2"
1715,29.9,"2"
1716,40.2,"3"
1717,32.7,"2"
1718,29.7,"2"
1719,34.1,"2"
1720,31.5,"2"
1721,30.6,"2"
1722,33.3,"2"
1723,30.4,"2"
1724,31.6,"2"
1725,30.1,"2"
1726,29.7,"2"
1727,35.7,"3"
1728,31.6,"2"
1729,37.78765098,"3"
1730,39.57784395,"2"
1731,33.31216857,"2"
1732,33.31216857,"2"
1733,35.99745802,"3"
1734,40.47294043,"3"
1735,80.7,"7"
1750,40.1,"4"
1751,35.3,"3"
1752,36.4,"2"
1753,29.6,"2"
1754,30.1,"2"
1755,36,"3"
1756,31.7,"3"
1757,37.1,"3"
1758,32.3,"2"
1759,36.4,"3"
1760,39.1,"3"
1762,29.7,"1"
1763,28.1,"1"
1764,29,"1"
1765,30.7,"1"
1766,30.1,"1"
1767,31.9,"1"
1768,28.3,"1"
1769,27.3,"1"
1770,29.7,"2"
1771,29.6,"2"
1772,31.4,"1"
1773,31.4,"1"
1774,30.2,"1"
1775,56.6,"4"
1776,30.3,"1"
1777,29.6,"1"
1780,27.6,"1"
1781,29.5,"1"
1784,31.3,"1"
1785,30.2,"1"
1786,31.6,"1"
1787,35.2,"1"
1788,33.1,"1"
1789,32.8,"1"
1790,32.4,"1"
1791,31.2,"1"
1792,27.2,"1"
1794,28.3,"1"
1795,27.8,"1"
1796,28,"1"
1797,29.1,"2"
1798,32.4,"1"
1799,30,"1"
1800,28.7,"1"
1801,28.2,"1"
1802,30.5,"1"
1803,32.2,"1"
1804,30.5,"2"
1805,30.3,"1"
1806,28.4,"1"
1808,30.5,"1"
1809,33.1,"1"
1810,32.1,"1"
1811,30.3,"1"
1812,32.2,"1"
1813,29.4,"1"
1814,30.1,"1"
1815,32.3,"1"
1816,30.8,"1"
1817,30.6,"1"
1818,29.4,"1"
1820,31.7,"1"
1821,31.5,"1"
