Age,Catch,,,,,,,,,,,,
0,49,,,,,,,,,,,,
1,12217,,,,,,,,,,,,
2,15165,,,,,,,,,,,,
3,3574,,,,,,,,,,,,
4,679,,,,,,,,,,,,
5,139,,,,,,,,,,,,
6,8,,,,,,,,,,,,
7,26,,,,,,,,,,,,
